occupation,post
Chef,"Executive Chef
About the job
Ungrafted is a wine and food destination in the Dogpatch neighborhood of San Francisco. We are looking for an Executive Chef and a leader, someone who can jump in and take over the team in the kitchen. 

You will also be overseeing the kitchen at GluGlu, our casual wine bar a few blocks away. 

This is a leadership position and you will be responsible for training staff and maintaining consistency in the kitchen, ordering food, and hitting our target COGS. You must be team-oriented and have an ability to think and respond quickly. We have a small team and you will regularly need to jump on the line to help cook. This position is not exclusively an office/admin/expo role. 

We expect that you have experience working in a kitchen and leading a team. You will need to demonstrate a strong ability to balance a kitchen budget and manage resources and personnel. Staff retention is important to us, and you will be tasked with maintaining morale in the kitchen. You will also be responsible for inputting and submitting invoices to our accounting department on a weekly basis, and completing a monthly food inventory. 

Our team is very small and very fun. We work hard and expect you will too. We are open 5 days/week and offer reasonable hours (as in no late-night seatings).

As a perk you will have access to our in-house wine education, you may purchase (at-cost) beverages from all over the world, and, for the right person, you will have an opportunity to grow with us as we open new projects. 

We offer a competitive salary, health insurance, paid vacation and a dining out budget."
Chef,"Executive Chef
About the job
La Mercerie has an exciting opportunity for an Executive Chef who has a passion for using avant-garde practices to create exceptionally reimagined French cuisine executed and served with care and consistency. In this position, you will work collaboratively with Chef Marie-Aude Rose on menu development, mentoring and developing a top-notch team, and upholding a supportive culture of teamwork and respect.

This position offers a comprehensive package including:
* A Base Salary Range of $120,000 - $140,000
* Quarterly Bonus Program up to 20%
* Paid Vacation and Sick Time
* Medical, Dental, and Vision Benefits Coverage
* Commuter Benefits Program
* Dining Discount at over 25 Affiliated STARR Restaurants

About: Located in the heart of Soho at Roman & Williams Guild, La Mercerie celebrates the thoughtful delight of everyday French cooking. Bordier butter, Whole roasted Heritage Chicken with shallot confit, and a rich flourless chocolate cake are just a few examples of the seasonal menu of La Mercerie. From brunch to dinner, aperitifs and wine are poured continuously and served alongside an ever-satisfying menu.

Step inside and experience the dreamy and elegant dining room with views of the kitchen and the incredible collection of timeless furniture, lighting, accessories, and a highly curated selection of goods from all over the world. A modern-day guild of the senses.

Qualifications:
* 3 - 5 years of experience as an Executive Chef or Chef de Cuisine in a culinary-driven restaurants
* A true appreciation for French cuisine and cooking techniques
* Energetic and enthusiastic with strong communication and organizational skills
* A humble, team-first mentality, and collaborative nature
* Proven ability to ensure costs are monitored and food & labor budgets met

La Mercerie is an equal opportunity employer. All applicants will be considered for employment without attention to race, color, religion, sex, sexual orientation, gender identity, national origin, veteran or disability status."
Chef,"Executive Chef
About the job
Live Your Passion. Add Your Magic.

At Montage International, we are doing something different, something exciting and it takes passionate people to bring our vision to life. We have built a culture that leads with the important notion we live by every day; do what you love. If this resonates with you, we look forward to receiving your application.

We welcome applicants with disabilities and provide reasonable accommodations as needed to our applicants. Please discuss with our hiring managers during our selection processes.

If you are an internal applicant, please log into Workday and apply for your application to be considered.

Please Click Here to apply internally.

Executive Chef

Summary

The Executive Chef will provide the highest quality culinary experience to our guests. The Executive Chef is responsible for the development and oversight of the overall strategic vision of the culinary program, including profitable financial management, effective leadership of sous chefs, excellent customer service skills, and supervision of department requirements and standards.

Essential Functions

Job duties include, although are not limited to:

* Accountable for ensuring all aspects of the Hotel kitchens including but not limited to: training, supervision and scheduling of all line associates, execution of all menu items, ordering, proper storage, organization and inventory of all products, training and implementation of all sanitation procedures, developing menu items, menu matrix and recipes while managing food and labor costs. 
* Responsible for enhancing the quality of food product that is presented to guests. 
* Make changes that respond to the marketplace and to guests’ needs, both present and anticipated. 
* Recommend changes to the food product. 
* Use market research to develop new products and ensure consistency in food delivery and standards. 
* Be a primary representative in media outlets, both print and televised, for food and beverage offerings at the Hotel. 
* Provide support of a specialist nature to the Executive Committee, particularly to the Director of Food & Beverage, and the Food & Beverage Managers and Directors. 
* Work in support of team goals and measures effectiveness through the Food & Beverage profit and service performance of the hotel. 
* Responsible for the selection, training and development of the personnel within the department. 
* Control the elements that determine profit and loss. 
* Responsible for all major operating expenses. 
* Set margins and manage the business against projections. 
* Make decisions that relate to profit and loss. 
* Responsible for the financial management of the operation. 
* Create custom menus 
* Create sustainable menu options 
* Responsible for following BEOs and ensuring any changes are made 
* Attend operational meetings 

Qualifications

* Minimum three years’ experience as an Executive Sous Chef in a comparable hotel environment.
* Expertise in food product, presentation, quality and preparation along with menu concept and menu design required.
* Previous experience with creating schedules, labor costing, payroll administration, employee performance management required. 
* Strong interpersonal and problem solving abilities.
* Must be able to work well under pressure in a fast paced environment, and focus attention on guest needs, remaining calm and courteous at all times. 
* Requires good communication skills, both verbal and written.
* Must possess basic computational ability. 
* Knowledge of computer accounting programs, math skills as well as budgetary analysis capabilities required.
* Extensive knowledge of menu development, insight into marketing, cost and wage control.
* Thorough knowledge of food products, standard recipes and proper preparation.
* Ability to analyze, forecast data, and make judgments to ensure proper payroll and production control.
* Ability to supervise large staff and accomplish goals on a timely basis.
* Ability to conduct meetings, menu briefings and maintain communication lines between line staff and Executive Assistant Manager, Food & Beverage.
* Ability to effectively deal with internal and external customers some of whom will require high levels of patience, tact and diplomacy and collect accurate information to resolve conflicts.
* Ability to create recipes and support material, i.e., recipe cards, descriptions, and pictures, and to read and visualize same.
* Artistic ability to create theme menus, ideas for ice carvings, decorations, etc.

Physical Requirements

Constant standing and walking throughout shift. Occasional environmental exposures to cold, heat, and water. The individual must be able to transport up to 50 pounds on occasion and up to 35 pounds regularly.

The pay scale* for Executive Chef is $115,000 to $145,000.

The pay scale is the base salary or hourly wage range, exclusive of incentive pay such as commissions, piece rates, gratuities, and the like, that Montage reasonably expects to pay for the position. Please let us know if you have any questions.

In the United States we are proud to be an EEO employer M/F/D/V. We maintain a drug-free workplace and perform pre-employment substance abuse testing."
Chef,"Executive Chef
About the job

Chef Chris Coombs, renowned chef, restaurateur, and Co-Founder & Co-Owner of Boston Urban Hospitality, including Deuxave, a Forbes 4 stars restaurant, is opening Bosse, the largest indoor pickleball complex in Massachusetts, offering a unique blend of sports and dining across a 100,000 sq. ft. facility. Bosse is set to redefine the recreational and culinary experience in the region. Our upscale Italian enoteca within Bosse is a key component of this vision, delivering exceptional Italian cuisine in an unparalleled setting.

The Executive Chef is responsible for overseeing the daily operations of the kitchen, ensuring the highest quality of food and service. This role involves supervising kitchen staff, managing inventory, and executing innovative menus that reflect the restaurant's brand and standards. The Executive works closely with the team to maintain culinary excellence and efficient kitchen operations. 

Key Responsibilities:

Menu Development:
* Create and update menus that are innovative, seasonal, and reflective of the restaurant's concept.
* Develop and test new recipes to keep the menu fresh and exciting.
* Ensure all dishes are prepared and presented according to the restaurant’s standards.
Kitchen Management:
* Supervise and train kitchen staff, including sous chefs, line cooks, and kitchen assistants.
* Ensure all kitchen operations comply with health and safety regulations.
* Monitor and manage food inventory, ordering supplies as necessary to maintain adequate stock levels.
* Oversee the preparation, cooking, and presentation of all food items.
Quality Control:
* Maintain high standards of food quality, presentation, and taste.
* Ensure consistency in every dish served
* Conduct regular kitchen inspections to ensure cleanliness and organization.
Financial Management:
* Work with management to develop and adhere to the kitchen budget.
* Control food costs and minimize waste.
* Track and report on kitchen expenditures.
Collaboration:
* Work closely with the front-of-house staff to ensure seamless service.
* Communicate effectively with the Chef/Owner regarding menu changes, kitchen operations, and staffing needs.
* Participate in staff meetings and contribute ideas for improving kitchen efficiency and service quality.

Job Type: Full-time
Pay: $85,000.00 - $95,000.00 per year

Benefits:
* 401(k)
* Dental insurance
* Food provided
* Health insurance
* Paid time off
* Vision insurance

Experience:
* Culinary experience: 5 years (Required)
* Cooking: 10 years (Required)"
Chef,"Sous Chef - In-Room Dining
About the job
The Sous Chef in Terranea Resorts In-Room Dining kitchen will supervise, coordinate, and participate in activities of cooks and other kitchen personnel engaged in preparing and cooking foods in the resort’s dining facilities.Participate in planning of the Culinary Department. Ensure that all processes and procedures are adhered to according to Terranea Resort Standards. 

Responsibilities
* Assist in creating & implementing menus
* Creating the description for all written menus
* Contribution to R&D
* Daily special creation according to our concepts
* Assist to create menus for various purposes
* Ordering of par levels according to the mise en place and menu description.
* All mise en place must be rotated daily to assure 100% freshness
* Keeping all standards in place, as created for our menu’s
* Coordination & creation of opening & closing procedures
* Develop job description & sop’s accordingly to create effective levels of quality & efficiency
* Execute all mise en place functions from set up to scheduling, ordering and receiving.
* communicate effectively with peers, management, line and front of the house employees
* Conduct and attend meetings including: daily communication, service, culinary line up, chef’s meeting, weekly staff meeting, monthly department meetings
* Maintain all sanitation and HACCP documentation in accordance California & LA County health codes
* Superior cleanness throughout all F&B departments
* Guiding& supporting the team to exceed our guest satisfaction goals
* Weekly scheduling according to forecast
* Able to clearly understand and effectively manage all aspects food, labor and operational cost.
* Relieving Cooks & Chef’s for various shifts
* Being an effective listener before acting is essential.
* Ability to communicate popular & un popular content effectively
* Use the associate’s handbook and CoralTree philosophy as a tool to effectively coach employees
* Create professional working relationships amongst all Terranea Resort associates
* Effectively motivate associates and to maintain a cohesive team
* Ensures the accurate maintenance of the menu and recipe database
* Performs related duties as required
* Being supportive to the team, learn and teach

Qualifications
* 5 years of experience in culinary arts in an upscale Restaurant, Hotel, Resort or Club environment
* Must be able to speak, hear, understand, read, and write the English language
* Must have a strong customer service aptitude.
* Must have good verbal and written communication skills
* Ability to implement and uphold service standards
* Ability to prioritize and organize work assignments
* Ability to interact with all associates and guests of the resort
* Ability to work well in stressful, high-pressure situations
* Must be able to exert up to 75 pounds of force occasionally and able to constantly lift, carry, pull or push up to 30 pounds of force
* Must be able to stand or walk for long periods of time

Experience, Education, & Licensure:
* Culinary Arts degree desired
* Serve Safe, Sanitation and HACCP proficiency
* Previous leadership experience preferred

Compensation: 
Base Pay Start Rate: $ 66,560/Yr. - $72,000/Yr. We offer a competitive benefit package for full-time, regular team members that includes: group medical, dental, vision, life, and disability benefits, as well as participation in a pre-tax flexible benefit plan for healthcare and dependent care reimbursement and an employee assistance program. We also offer paid time off/sick time and are proud to offer participation in a 401(k) plan with a company match!"
Chef,"PASTRY CHEF DE PARTIE
About the job

Description
Groot Hospitality employs team members who demonstrate a passion for hospitality and dedication to company values and customer service. We are a diverse organization that provides the opportunity to excel in a fast-paced multicultural environment. We are always looking for passionate people who will embrace our belief of hospitality, company growth and customer experience. Our commitment to diversity, teamwork, and integrity are indicative of the service we provide to our guests. We offer career opportunities with work/life balances, as well as a rewarding career experience. The Pastry Chef De Partie oversees, directs, and performs the daily execution of all assigned kitchen food production and service execution in connection with desserts while establishing and maintaining standards of operation in the areas of food quality, timelines of food, cleanliness and maintenance, profitability, and supervision of staff. Due to the nature of our business, this position is required to work weekends and holidays. 

General Duties And Responsibilities

The day-to-day responsibilities include but are not limited to:
* Assist the Executive Pastry Chef with day-to-day supervision of bakery team members.
* Participate in and assist the Executive Pastry Chef with developing and researching new recipes for special events.
* Inspect all bakery items upon completion to ensure they have been prepared correctly and attractively.
* Work with the Executive Pastry Chef to take appropriate action to reduce operating costs without affecting the quality of pastries or service.
* Maintain a safe, hazard-free operation, ensuring that accidents are immediately reported, and accident reports completed.
* Perform other job-related duties as requested.

Requirements Required Knowledge, Skills, and Abilities:
* Minimum 2 years experience in a high-volume kitchen.
* Previous experience as a pastry cook, sous chef, or relevant role.
* Strong knowledge of dessert and pastry techniques.
* Ability to prepare mise en place for daily service and applicable closing duties.
* Ability to work both fast and accurately.
* Available to work during business hours, including weekends and evenings.
* Flexibility to take on various shifts.
* Additional duties as needed.

Working Conditions
* This position will spend 100% of the time standing.
* Occasional environmental exposures to cold, heat, and moisture.
* The individual must be able to transport up to 40 pounds on occasion and up to 25 pounds regularly.
* Must be able to speak, read and understand basic pastry cooking directions."
Chef,"Sous Chef
About the job
As a Sous Chef, you will be instrumental in planning, preparing, and executing performance-driven meals to fuel our elite players, coaches, and basketball operations staff. This role offers significant growth and professional development opportunities, requiring initiative and problem-solving skills for all culinary-related duties. You will be part of a team dedicated to providing intentional, genuine, and delicious dining experiences for the team.

This is a full-time role based in Inglewood, CA, and is eligible for our competitive benefit offering including medical, dental, vision, a 401(k) plan with company contribution, a Well-Being Allowance, and more. Due to the nature of this industry, the candidate must be available to work a flexible schedule, including weeknights, weekends, and holidays, to support the LA Clippers basketball team.

What You Will Do

* Organize, coordinate, prepare, and serve various meals to Clippers players, coaches, and basketball operations staff
* Prepare meals following nutrition and culinary guidelines from the Executive Chef and Team Dietician
* Assist in menu development and ensure responsible sourcing practices
* Train and supervise Junior Sous, Culinary Intern, and Dishwasher staff in daily kitchen duties, food safety/sanitation practices, and inventory management
* Oversee operational duties in the absence of the Executive Chef
* Maintain food and physical safety and sanitation, including HACCP and production records
* Assist with administrative and data-collection projects
* Stay updated on current developments in evidence-based nutrition studies and culinary trends

Your Background, Skills, And Qualifications

* Bachelor’s degree in Culinary Arts, Nutrition, Dietetics, Health Science, or related field preferred
* 5+ years of experience as a sous or junior sous chef in a hotel, high-volume full-service restaurant, contract management, or banquet setting
* Ability to frequently lift and/or move objects up to 20 pounds and occasionally up to 50 pounds
* Creativity, open-mindedness, a desire to learn, and respect for the nutritional needs of basketball athletes
* Knowledge of food safety and sanitation guidelines, including temperature requirements and HACCP
* Current ServSafe Food Handler and Allergen Awareness certifications
* Willingness to work a flexible, year-round, full-time schedule

Compensation

The salary range for this position is $75,000 - $85,000 annual compensation. Compensation package offered will be based on multiple individualized factors, including a candidate's job-related knowledge, skills, and experience.

Benefits And Perks

We offer a competitive benefits program, including:

* Medical, Dental and Vision plans
* 401(k) plan with company contribution
* Wellbeing Allowance of up to $1,000 per year
* Financial Education and Wellness Program, including access to Certified Financial Planners
* Paid vacation and sick time
* Paid parental leave
* Flexible Spending Accounts (Medical and Dependent Care)
* Company-paid Long Term Disability insurance
* Company-paid Life and AD&D Insurance
* Voluntary Life Insurance options for employee, spouse and children
* Employee Assistance Program
* Mind health support via Modern Health and Headspace
* Fertility and Family Planning Assistance via Carrot

The LA Clippers are a proud equal opportunity employer. It is our desire and intent that all employees enjoy a professional business working environment that is free from discrimination and harassment. We will ensure that individuals with disabilities are provided reasonable accommodation to participate in the job application or interview process, to perform essential job functions, and to receive other benefits and privileges of employment.

Qualified applications with arrest or conviction records will be considered for employment in accordance with the Los Angeles County Fair Chance Ordinance for Employers and the California Fair Chance Act."
Banking,"Senior Banker
About the job

Job Description:

At Bank of America, we are guided by a common purpose to help make financial lives better through the power of every connection. Responsible Growth is how we run our company and how we deliver for our clients, teammates, communities and shareholders every day.

One of the keys to driving Responsible Growth is being a great place to work for our teammates around the world. We're devoted to being a diverse and inclusive workplace for everyone. We hire individuals with a broad range of backgrounds and experiences and invest heavily in our teammates and their families by offering competitive benefits to support their physical, emotional, and financial well-being.

Bank of America believes both in the importance of working together and offering flexibility to our employees. We use a multi-faceted approach for flexibility, depending on the various roles in our organization.

Working at Bank of America will give you a great career with opportunities to learn, grow and make an impact, along with the power to make a difference. Join us!

Job Description:

This job is responsible for serving as the first point of contact for financial center clients, helping to uncover personal banking needs of both individual and small business clients, offering appropriate solutions, and connecting clients to specialists. Key responsibilities include deepening client relationships through platform services, supporting clients with self-service or transactional activities, and providing exceptional client care. Job expectations include proactively connecting with clients through outbound calls and conducting consistent follow-up routines.

Responsibilities:

* Partners with teams to provide financial center clients with both consumer and small business solutions, services, and strategies when uncovering personal banking needs and helping clients navigate their unique life priorities
* Assists, educates, and trains clients on conducting simple transactions through self-service technologies
* Leverages available resources, technologies, and processes to optimize the client experience and deliver operational excellence and accuracy
* Adheres to established processes, laws, and guidelines in performing day-to-day activities, such as opening accounts, account maintenance, and Digital Assisted Shopping
* Manages client interactions by taking the best course of action for the bank and its clients and abiding by all regulatory requirements

Required Qualifications:

* Has a minimum of one year demonstrated sales experience in a relationship-oriented and client-centric environment. In lieu of this requirement, has previously held the role of Relationship Manager (RM), Advisor Development Program (ADP) RM, Credit Solutions Advisor (CSA I), or Relationship Manager Business Owner Specialist (RMBOS) at Bank of America for a minimum of six months.
* Is an enthusiastic, highly motivated self-starter with a strong work ethic and intense focus on results, acting in the best interest of the client.
* Collaborates effectively to get things done, building and nurturing strong relationships.
* Displays passion, commitment and drive to deliver an experience that improves our clients' financial lives.
* Is confident in identifying solutions for helping new and existing clients based on their needs.
* Has strong written and verbal communications skills.
* Is able to communicate effectively and confidently, and is comfortable engaging all clients (in-person and by phone).
* Has the ability to learn and adapt to new information, technology platforms, handle ambiguity and adapt to changing circumstances.
* Applies strong critical thinking and problem-solving skills to meet clients' needs.
* Demonstrates effective time management skills and the ability to organize, prioritize and perform multiple tasks simultaneously.
* Is a commissioned notary or can successfully obtain a notary commission in the state you work within a few months of start date in role (exact timeframe varies by location due to differing state laws).
* Can be flexible to work weekends and/or extended hours as needed.

Desired Qualifications:

* An Associate's Degree or Bachelor's Degree in business, finance, or a related field.
* Experience working in a financial center where goals were met or exceeded.
* Retail and/or sales experience in a salary plus incentive environment.
* Experience working in an environment with individual and/or team goals where goals were routinely met or exceeded.
* Experience with financial information, spreadsheets and financial skills.
* Knowledge of banking products and services.
* Strong computer skills including Microsoft applications and previous experience utilizing laptop technology

Skills:

* Active Listening
* Business Acumen
* Customer and Client Focus
* Oral Communications
* Problem Solving
* Account Management
* Client Experience Branding
* Client Management
* Client Solutions Advisory
* Relationship Building
* Business Development
* Pipeline Management
* Prospecting
* Referral Identification
* Referral Management

Minimum Education Requirement:

* High School Diploma / GED / Secondary School or equivalent"
Banking,"US Private Bank - Fund Banker - New York
About the job
Job Description

We are actively looking for exceptionally talented individuals who are collaborative, confident and motivated to provide a first-class experience to clients within J.P. Morgan's U.S. Private Bank. If you have an entrepreneurial mindset and are looking to constantly challenge yourself, J.P. Morgan is the place for you. You will be working alongside a team of talented colleagues from other markets, businesses and functions to provide you with the opportunity to take your career to the next level.

As a Fund Banker, you are responsible for advising Private Equity & Venture Capital Firms on Banking and Lending solutions as well as Cash Management. You will use your knowledge of Investments, Credit and Banking to both advise current clients on all aspects of their balance sheet and generate new client acquisition. You will be part of a specialized team and supported by an institutional platform that has the resources, specialists and intellectual capital to help you advise clients on achieving their desired goals.

Job Responsibilities

* Relationship manager for Private Equity & Venture Funds day-to-day activity across the J.P. Morgan Private Bank platform 
* Responsible for the development of new and existing business and cultivating Deposit, Lending, and Investment relationships 
* Partnering with Private Bankers to deepen fund relationships and introduce founders, CEO, CFOs, CIOs, and Fund employees to the Private Bank
* Partner with Investors and Lenders to build holistic plans around Banking, Lending and Investments to deliver the entire Private Bank platform to fund clients 
* Engage Commercial Bank partners to build strategic relationships with Fund companies to bank their portfolio companies across the platform 
* Engage Investment Bank partners to build strategic relationships with Fund companies to understand strategic partnership around IPOs and fund raising opportunities
* Ensure that proposed solutions fulfill clients' needs and objectives in the short, medium and long term 
* Strictly adhere to all risk and control policies, regulatory guidelines and security measures

Required Qualifications, Capabilities And Skills

* Six plus years of work experience in Private Banking or Financial Services
* Series 7, 66 unlicensed candidates considered, but required to obtain licenses within 90 days of start date
* Strong community presence with an established network 
* Experience or demonstrated understanding of Investments, Credit and Banking concepts 
* Focused on the client experience and works tirelessly on the client's behalf

Preferred Qualifications, Capabilities And Skills

* Proactive, takes initiative, and uses critical thinking to solve problems 
* Dynamic and credible professional who communicates with clarity and has exceptional presentation skills 
* Demonstrates strong organizational skills and applies a disciplined and organized approach throughout their business
* Experience with and in-depth knowledge of the Equity and Fixed income markets and Alternative Investments, including Hedge Funds, Private Equity, Venture Capital and Real Estate
* Bachelor's Degree required; MBA, JD, CFA, or CFP preferred

ABOUT US

JPMorgan Chase & Co., one of the oldest financial institutions, offers innovative financial solutions to millions of consumers, small businesses and many of the world's most prominent corporate, institutional and government clients under the J.P. Morgan and Chase brands. Our history spans over 200 years and today we are a leader in investment banking, consumer and small business banking, commercial banking, financial transaction processing and asset management.

We offer a competitive total rewards package including base salary determined based on the role, experience, skill set, and location. Those in eligible roles may receive commission-based pay and/or discretionary incentive compensation awarded in recognition of individual achievements and contributions. We also offer a range of benefits and programs to meet employee needs, based on eligibility. These benefits include comprehensive health care coverage, on-site health and wellness centers, a retirement savings plan, backup childcare, tuition reimbursement, mental health support, financial coaching and more. Additional details about total compensation and benefits will be provided during the hiring process.

We recognize that our people are our strength and the diverse talents they bring to our global workforce are directly linked to our success. We are an equal opportunity employer and place a high value on diversity and inclusion at our company. We do not discriminate on the basis of any protected attribute, including race, religion, color, national origin, gender, sexual orientation, gender identity, gender expression, age, marital or veteran status, pregnancy or disability, or any other basis protected under applicable law. We also make reasonable accommodations for applicants' and employees' religious practices and beliefs, as well as mental health or physical disability needs. Visit our FAQs for more information about requesting an accommodation.

JPMorgan Chase is an Equal Opportunity Employer, including Disability/Veterans

About The Team

J.P. Morgan Asset & Wealth Management delivers industry-leading investment management and private banking solutions. Asset Management provides individuals, advisors and institutions with strategies and expertise that span the full spectrum of asset classes through our global network of investment professionals. Wealth Management helps individuals, families and foundations take a more intentional approach to their wealth or finances to better define, focus and realize their goals."
Banking,"IB - Origination & Advisory - Banker - Healthcare - Associate
About the job

Position Overview Job Title: Origination & Advisory 
Corporate Title: Associate 
Location: New York 

Overview 
Our Origination & Advisory business provides the full range of investment banking products and services for large-cap and mid-cap corporates and financial sponsors. Our offering consists of comprehensive financial advisory and capital raising services - including mergers & acquisitions (M&A) and restructuring advice, underpinned by one of the world's largest and most successful debt and equity capital markets platforms. Deutsche Bank has established franchises in innovative areas such as SPACs and ESG. Our range of services and strong presence across the globe enables us to complete large, multi-dimensional cross-border, and regional transactions. 

What We Offer You
* A diverse and inclusive environment that embraces change, innovation, and collaboration.
* A hybrid working model, allowing for in-office / work from home flexibility, generous vacation, personal and volunteer days
* Employee Resource Groups support an inclusive workplace for everyone and promote community engagement
* Competitive compensation packages including health and wellbeing benefits, retirement savings plans, parental leave, and family building benefits
* Educational resources, matching gift and volunteer programs

What You’ll Do
* Support execution of live transactions for Healthcare coverage team, including preparation of detailed memoranda and presentations, and analyzing the key attributes of client companies
* Apply financial, economic, quantitative, and qualitative methods and principles to evaluate and execute acquisitions, financings, and equity raising transactions
* Develop and apply advanced financial analyses and models
* Issue final reports of client interactions and discussions to senior management and maintain ongoing communication

How You’ll Lead (VP And Above)
* Experience in working with senior level management maintaining confidentiality
* Leadership skills with the capacity to take initiative as well as assume responsibility
* Create a positive, effective work environment conducive to open communications, taking initiatives, and collaborative problem-solving team culture

Skills You’ll Need
* 2+ years of experience providing quantitative and analytical support for M&A and capital markets transactions (IPOs, equity follow-ons, SPACs, investment grade and leveraged finance debt offerings) in the Life Sciences space (pharma, biotech, spec pharma)
* Experience supporting senior bankers across all stages of a transaction lifecycle, including pitching and bake off, preparing marketing materials and financial models and deal execution
* Background in sciences or pharmaceutical sector a plus (academic and/or work experience)
* Bachelor’s degree (advanced degree preferred)
* Series 79, 63 licensing preferred

Skills That Will Help You Excel
* Performing detailed financial modeling and valuation analyses on public and private companies
* Performing in-depth company and industry research to support live deal execution and pitches"
